url,utc,status,final_url,content_type,bytes,truncated,sha256,capture,error,ids
https://adviserinfo.sec.gov/firm/summary/319135,2026-09-14T21:06:13.098053+00:00,200,https://adviserinfo.sec.gov/firm/summary/319135,text/html,9088,False,a4db1d6f99e805161a6b9f1e18068bdc1f96bdd6b07f84baffdeec2d90be6a47,url-0bc9204c074b6771.bin,,ST125 ST127
https://api.fxtwitter.com/i/status/2082644379895050339,2026-09-14T21:06:13.098371+00:00,200,https://api.fxtwitter.com/i/status/2082644379895050339,application/json,2010,False,76fdf5ee988c6d4b4f3944b29316b7e48b61c72ac5b8c7596f961f7ba322b5b4,url-0b90ddfa2a45bebc.bin,,RW31
https://api.fxtwitter.com/i/status/2098795673248550984,2026-09-14T21:06:13.098530+00:00,200,https://api.fxtwitter.com/i/status/2098795673248550984,application/json,3847,False,343c672d7d3b23c40bb8b2e3ada200d8a8f8869635ae930336f438d2ca6b8006,url-44e5604ca484d76c.bin,,RW36
https://apps.irs.gov/pub/epostcard/990/xml/2026/,2026-09-14T21:06:13.098641+00:00,404,https://www.irs.gov/404,text/html; charset=UTF-8,86733,False,672323bd6e01c5214d935137e3e7932e89e81ac710bbc6cebc8554ce8b042a3f,url-05267a8bb141d8e6.bin,,ST94 ST100 ST103
https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_05B.zip,2026-09-14T21:06:13.393244+00:00,200,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_05B.zip,application/zip,1048576,True,c74e77c4c648ae6759775c36a3296bc6add5d54d0969c616ee9943ea62fdec74,url-a63e5ae83970b021.bin,,ST78 ST79
https://blog.redwoodresearch.org/p/brief-independent-investigation-of,2026-09-14T21:06:13.983686+00:00,200,https://blog.redwoodresearch.org/p/brief-independent-investigation-of,text/html; charset=utf-8,291519,False,41cff520f06923255d058eb5122c4e0796e18d8f03904af24e615580950be6fd,url-ce45770f87d86503.bin,,RW34
https://bsky.app/profile/moskov.goodventures.org/post/3miawblqk7224,2026-09-14T21:06:13.997927+00:00,200,https://bsky.app/profile/moskov.goodventures.org/post/3miawblqk7224,text/html; charset=UTF-8,11098,False,4996786d861a11317a2bedef2bfaaf5ccd0248f66f73912122495cad1ec24e1d,url-c8180e4d8d481d5c.bin,,ST110
https://bsky.app/profile/moskov.goodventures.org/post/3miawjaazyc24,2026-09-14T21:06:14.002609+00:00,200,https://bsky.app/profile/moskov.goodventures.org/post/3miawjaazyc24,text/html; charset=UTF-8,12398,False,16475411ae20b755741e927e1303a4189d4024a2d3f5b722184be9c3eebb0585,url-873b087aab38a0ca.bin,,ST112
https://bsky.app/profile/moskov.goodventures.org/post/3mjaq5x2pws2e,2026-09-14T21:06:14.005061+00:00,200,https://bsky.app/profile/moskov.goodventures.org/post/3mjaq5x2pws2e,text/html; charset=UTF-8,12623,False,0b43472cdab97ba99af3dd2eeded6772b8687f3664a9dbfa6e5414659da32b40,url-4275574d7a66a6cc.bin,,ST113
https://bsky.app/profile/moskov.goodventures.org/post/3mtygcpxluc2b,2026-09-14T21:06:14.336885+00:00,200,https://bsky.app/profile/moskov.goodventures.org/post/3mtygcpxluc2b,text/html; charset=UTF-8,11405,False,3b757121dd5616e43891c6a2c5896d305645bf9cf24020e0d8f0059866fec482,url-2c86f1ce7218dc6b.bin,,ST90 ST111
https://bsky.app/profile/moskov.goodventures.org/post/3mvaqtffuwc2o,2026-09-14T21:06:14.355228+00:00,200,https://bsky.app/profile/moskov.goodventures.org/post/3mvaqtffuwc2o,text/html; charset=UTF-8,11957,False,df6433d5de49da5d23196a56f1731f138a138e8c0ce1bcd243ae02459d131da6,url-b11a0d713967d89b.bin,,ST93
https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf,2026-09-14T21:06:14.359157+00:00,200,https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf,application/pdf,521159,False,dd635cf6e5f39f0e1f646f08c36549090d77156ed89cbd3d733ed496648cae9c,url-2869273e2d01cccc.bin,,RW33
https://coefficientgiving.org/about/governance/,2026-09-14T21:06:14.367969+00:00,200,https://coefficientgiving.org/governance/,text/html; charset=UTF-8,77313,False,ce74be20d694372fa38506f10fddcb1b7e207c28adbeed82ebb9d100db0131a0,url-c52fe619be5e1ae3.bin,,ST124
https://coefficientgiving.org/grantmaking-process/,2026-09-14T21:06:14.677726+00:00,200,https://coefficientgiving.org/our-approach/grantmaking-process/,text/html; charset=UTF-8,100917,False,397138495a66dc9f7d157b0a02ac6841d5c25817dfc3181ed603c3bfcbc57b38,url-e704d8178d0f2af7.bin,,ST105
